"applicant_id","applicant_date","applicant_time","cust_id","applicant_income","coapplicant_income","credit_history","property_area","loan_amount","loan_amount_term","loan_account_id"
"LP001225","20230621","131011","CI00000108","5726","4595","1.00","Semiurban","258","360","LA3333000108"
"LP001226","20230621","140555","CI00000109","1750","2024","1.00","Semiurban","90","360","LA3333000109"
"LP001228","20230621","154707","CI00000110","3200","2254","0.00","Urban","126","180","LA3333000110"
"LP001230","20230621","101052","CI00000111","6500","2600","1.00","Semiurban","200","360","LA3333000111"
"LP001231","20230621","114513","CI00000112","3666","0","1.00","Urban","84","360","LA3333000112"
"LP001232","20230622","132149","CI00000113","4260","3900","0.00","Urban","185",\N,"LA3333000113"
"LP001233","20230622","143428","CI00000114","10750","0","1.00","Urban","312","360","LA3333000114"
"LP001237","20230622","153549","CI00000115","4163","1475","1.00","Urban","162","360","LA3333000115"
"LP001238","20230622","095512","CI00000116","7100","0","1.00","Urban","125","60","LA3333000116"
"LP001241","20230622","111550","CI00000117","4300","0","0.00","Semiurban","136","360","LA3333000117"
"LP001242","20230623","131421","CI00000118","2356","1902","1.00","Semiurban","108","360","LA3333000118"
"LP001243","20230623","142728","CI00000119","3208","3066","1.00","Urban","172","360","LA3333000119"
"LP001245","20230623","152512","CI00000120","1875","1875","1.00","Semiurban","97","360","LA3333000120"
"LP001248","20230623","103050","CI00000121","3500","0","1.00","Semiurban","81","300","LA3333000121"
"LP001250","20230623","115520","CI00000122","4755","0","0.00","Semiurban","95",\N,"LA3333000122"
"LP001253","20230624","131011","CI00000123","5266","1774","1.00","Semiurban","187","360","LA3333000123"
"LP001255","20230624","140555","CI00000124","3750","0","1.00","Urban","113","480","LA3333000124"
"LP001256","20230624","154707","CI00000125","3750","4750","1.00","Urban","176","360","LA3333000125"
"LP001259","20230624","101052","CI00000126","1000","3022","1.00","Urban","110","360","LA3333000126"
"LP001263","20230624","114513","CI00000127","3167","4000","0.00","Semiurban","180","300","LA3333000127"
"LP001264","20230624","132149","CI00000128","3333","2166","1.00","Semiurban","130","360","LA3333000128"
"LP001265","20230625","143428","CI00000129","3846","0","1.00","Semiurban","111","360","LA3333000129"
"LP001266","20230625","153549","CI00000130","2395","0","1.00","Semiurban",\N,"360","LA3333000130"
"LP001267","20230625","095512","CI00000131","1378","1881","1.00","Urban","167","360","LA3333000131"
"LP001268","20230625","111550","CI00000132","6792","3338","1.00","Urban","187",\N,"LA3333000132"
"LP001270","20230625","131421","CI00000133","8000","250","1.00","Semiurban","187","360","LA3333000133"
"LP001273","20230626","142728","CI00000134","6000","2250","0.00","Semiurban","265","360","LA3333000134"
"LP001275","20230626","152512","CI00000135","3988","0","1.00","Urban","50","240","LA3333000135"
"LP001279","20230626","103050","CI00000136","2366","2531","1.00","Semiurban","136","360","LA3333000136"
"LP001280","20230626","115520","CI00000137","3333","2000","0.00","Semiurban","99","360","LA3333000137"
"LP001282","20230626","131011","CI00000138","2500","2118","1.00","Semiurban","104","360","LA3333000138"
"LP001284","20230626","140555","CI00000139","2419","1707","1.00","Urban","124","360","LA3333000139"
"LP001287","20230627","154707","CI00000140","3500","833","1.00","Semiurban","120","360","LA3333000140"
"LP001289","20230627","101052","CI00000141","8566","0","1.00","Urban","210","360","LA3333000141"
"LP001291","20230627","114513","CI00000142","3500","3077","1.00","Semiurban","160","360","LA3333000142"
"LP001298","20230627","132149","CI00000143","4116","1000","1.00","Urban","30","180","LA3333000143"
"LP001310","20230627","143428","CI00000144","5695","4167","1.00","Semiurban","175","360","LA3333000144"
"LP001312","20230628","153549","CI00000145","5293","0","1.00","Urban","92","360","LA3333000145"
"LP001313","20230628","095512","CI00000146","2750","0","0.00","Urban","130","360","LA3333000146"
"LP001316","20230628","111550","CI00000147","2958","2900","1.00","Semiurban","131","360","LA3333000147"
"LP001317","20230628","131421","CI00000148","4402","0","1.00","Rural","130","360","LA3333000148"
"LP001318","20230628","142728","CI00000149","6250","5654","1.00","Semiurban","188","180","LA3333000149"
"LP001319","20230629","152512","CI00000150","3273","1820","1.00","Urban","81","360","LA3333000150"
"LP001321","20230629","103050","CI00000151","3613","3539","1.00","Semiurban","134","180","LA3333000151"
"LP001322","20230629","115520","CI00000152","4133","0","1.00","Semiurban","122","360","LA3333000152"
"LP001323","20230629","131011","CI00000153","2779","3664","0.00","Semiurban","176","360","LA3333000153"
"LP001324","20230629","140555","CI00000154","4720","0","1.00","Semiurban","90","180","LA3333000154"
"LP001325","20230629","154707","CI00000155","3620","0","1.00","Semiurban","25","120","LA3333000155"
"LP001326","20230630","101052","CI00000156","6782","0","0.00","Urban",\N,"360","LA3333000156"
"LP001327","20230630","114513","CI00000157","2484","2302","1.00","Semiurban","137","360","LA3333000157"
"LP001332","20230630","132149","CI00000158","2415","1721","1.00","Semiurban","110","360","LA3333000158"
"LP001333","20230630","143428","CI00000159","1977","997","1.00","Semiurban","50","360","LA3333000159"
"LP001334","20230630","153549","CI00000160","4188","0","1.00","Semiurban","115","180","LA3333000160"
"LP001335","20230630","095512","CI00000161","7016","292","1.00","Urban","125","360","LA3333000161"
"LP001338","20230701","111550","CI00000162","4968","0","1.00","Semiurban","189","360","LA3333000162"
"LP001343","20230701","131421","CI00000163","1759","3541","1.00","Semiurban","131","360","LA3333000163"
"LP001345","20230701","142728","CI00000164","4288","3263","1.00","Urban","133","180","LA3333000164"
"LP001347","20230701","152512","CI00000165","2101","1500","0.00","Rural","108","360","LA3333000165"
"LP001348","20230701","103050","CI00000166","4490","0","1.00","Urban","125","360","LA3333000166"
"LP001349","20230702","115520","CI00000167","4843","3806","1.00","Semiurban","151","360","LA3333000167"
"LP001350","20230702","131011","CI00000168","13650","0","1.00","Urban",\N,"360","LA3333000168"
"LP001351","20230702","140555","CI00000169","2917","3583","1.00","Semiurban","138","360","LA3333000169"
"LP001352","20230702","154707","CI00000170","4700","0","0.00","Semiurban","135","360","LA3333000170"
"LP001356","20230702","101052","CI00000171","4652","3583","1.00","Semiurban",\N,"360","LA3333000171"
"LP001357","20230703","114513","CI00000172","3816","754","1.00","Urban","160","360","LA3333000172"
"LP001358","20230703","132149","CI00000173","3445","0","0.00","Semiurban","130","360","LA3333000173"
"LP001359","20230703","143428","CI00000174","7666","0","1.00","Semiurban","187","360","LA3333000174"
"LP001361","20230703","153549","CI00000175","2458","5105","0.00","Rural","188","360","LA3333000175"
"LP001366","20230703","095512","CI00000176","3250","0","1.00","Semiurban","95","360","LA3333000176"
"LP001367","20230704","111550","CI00000177","3052","1030","1.00","Urban","100","360","LA3333000177"
"LP001368","20230704","131421","CI00000178","4463","0","1.00","Semiurban","65","360","LA3333000178"
"LP001369","20230704","142728","CI00000179","11417","1126","1.00","Urban","225","360","LA3333000179"
"LP001370","20230704","152512","CI00000180","7333","0","1.00","Rural","120","360","LA3333000180"
"LP001375","20230704","103050","CI00000181","4083","1775","1.00","Urban","139","60","LA3333000181"
"LP001379","20230704","115520","CI00000182","3800","3600","0.00","Urban","216","360","LA3333000182"
"LP001380","20230705","131011","CI00000183","3900","2094","1.00","Rural","232","360","LA3333000183"
"LP001384","20230705","140555","CI00000184","2071","754","1.00","Semiurban","94","480","LA3333000184"
"LP001385","20230705","154707","CI00000185","5316","0","1.00","Urban","136","360","LA3333000185"
"LP001386","20230705","101052","CI00000186","4750","3583","1.00","Semiurban","144","360","LA3333000186"
"LP001387","20230705","114513","CI00000187","2929","2333","1.00","Semiurban","139","360","LA3333000187"
"LP001391","20230706","132149","CI00000188","3572","4114","0.00","Rural","152",\N,"LA3333000188"
"LP001392","20230706","143428","CI00000189","7451","0","1.00","Semiurban",\N,"360","LA3333000189"
"LP001398","20230706","153549","CI00000190","5050","0","1.00","Semiurban","118","360","LA3333000190"
"LP001400","20230706","095512","CI00000191","3583","3435","1.00","Urban","155","360","LA3333000191"
"LP001401","20230706","111550","CI00000192","14583","0","1.00","Rural","185","180","LA3333000192"
"LP001404","20230706","131421","CI00000193","3167","2283","1.00","Semiurban","154","360","LA3333000193"
"LP001405","20230707","142728","CI00000194","2214","1398","0.00","Urban","85","360","LA3333000194"
"LP001407","20230707","152512","CI00000195","3189","2367","1.00","Urban","186","360","LA3333000195"
"LP001413","20230707","103050","CI00000196","6356","0","1.00","Rural","50","360","LA3333000196"
"LP001415","20230707","115520","CI00000197","3413","4053","1.00","Semiurban",\N,"360","LA3333000197"
"LP001419","20230707","131011","CI00000198","7950","0","1.00","Urban","185","360","LA3333000198"
"LP001420","20230708","140555","CI00000199","3829","1103","0.00","Urban","163","360","LA3333000199"
"LP001421","20230708","154707","CI00000200","5568","2142","1.00","Rural","175","360","LA3333000200"
"LP001422","20230708","101052","CI00000201","10408","0","1.00","Urban","259","360","LA3333000201"
"LP001426","20230708","114513","CI00000202","5667","2667","1.00","Rural","180","360","LA3333000202"
"LP001428","20230708","132149","CI00000203","72529","0","1.00","Urban","360","360","LA3333000203"
"LP001430","20230709","143428","CI00000204","4166","0","1.00","Semiurban","44","360","LA3333000204"
"LP001431","20230709","153549","CI00000205","2137","8980","0.00","Semiurban","137","360","LA3333000205"
"LP001432","20230709","095512","CI00000206","2957","0","1.00","Semiurban","81","360","LA3333000206"
"LP001439","20230709","111550","CI00000207","4300","2014","1.00","Rural","194","360","LA3333000207"
"LP001443","20230709","131421","CI00000208","3692","0","0.00","Rural","93","360","LA3333000208"
"LP001445","20230709","142728","CI00000209","4136","0","0.00","Rural","149","480","LA3333000209"
"LP001446","20230710","152512","CI00000210","8449","0","1.00","Rural","257","360","LA3333000210"
"LP001448","20230710","103050","CI00000211","23803","0","1.00","Rural","370","360","LA3333000211"
"LP001449","20230710","115520","CI00000212","3865","1640","1.00","Rural",\N,"360","LA3333000212"
"LP001450","20230710","131011","CI00000213","4456","0","0.00","Semiurban","131","180","LA3333000213"
"LP001451","20230710","140555","CI00000214","10513","3850","0.00","Urban","160","180","LA3333000214"
"LP001452","20230711","154707","CI00000215","4635","8000","1.00","Rural","102","180","LA3333000215"
"LP001455","20230711","101052","CI00000216","3571","1917","1.00","Urban","135","360","LA3333000216"
"LP001465","20230711","114513","CI00000217","6080","2569","0.00","Rural","182","360","LA3333000217"
"LP001466","20230711","132149","CI00000218","3066","0","1.00","Semiurban","95","360","LA3333000218"
"LP001469","20230711","143428","CI00000219","20166","0","0.00","Urban","650","480","LA3333000219"
"LP001471","20230712","153549","CI00000220","3235","2015","1.00","Semiurban","77","360","LA3333000220"
"LP001472","20230712","095512","CI00000221","5058","0","1.00","Rural","200","360","LA3333000221"
"LP001473","20230712","111550","CI00000222","2014","1929","1.00","Urban","74","360","LA3333000222"
"LP001475","20230712","131421","CI00000223","3188","2286","0.00","Rural","130","360","LA3333000223"
"LP001478","20230712","142728","CI00000224","2718","0","1.00","Semiurban","70","360","LA3333000224"
"LP001482","20230713","152512","CI00000225","3459","0","1.00","Semiurban","25","120","LA3333000225"
"LP001483","20230713","103050","CI00000226","13518","0","1.00","Rural","390","360","LA3333000226"
"LP001486","20230713","115520","CI00000227","4364","2500","1.00","Semiurban","185","360","LA3333000227"
"LP001487","20230713","131011","CI00000228","4895","0","1.00","Semiurban","102","360","LA3333000228"
"LP001488","20230713","140555","CI00000229","4000","7750","1.00","Semiurban","290","360","LA3333000229"
"LP001489","20230714","154707","CI00000230","4583","0","1.00","Rural","84","360","LA3333000230"
"LP001490","20230714","101052","CI00000231","4766","1646","1.00","Semiurban","100","360","LA3333000231"
"LP001491","20230714","114513","CI00000232","3316","3500","1.00","Urban","88","360","LA3333000232"
"LP001492","20230714","132149","CI00000233","14999","0","0.00","Semiurban","242","360","LA3333000233"
"LP001493","20230714","143428","CI00000234","4200","1430","1.00","Rural","129","360","LA3333000234"
"LP001496","20230714","153549","CI00000235","4609","2333","0.00","Semiurban","123","360","LA3333000235"
"LP001497","20230715","095512","CI00000236","5042","2083","1.00","Rural","185","360","LA3333000236"
"LP001498","20230715","111550","CI00000237","5417","0","1.00","Urban","168","360","LA3333000237"
"LP001499","20230715","131421","CI00000238","6260","0","1.00","Semiurban","110","360","LA3333000238"
"LP001500","20230715","142728","CI00000239","3333","4200","1.00","Urban","256","360","LA3333000239"
"LP001501","20230715","152512","CI00000240","3500","3250","1.00","Semiurban","140","360","LA3333000240"
"LP001504","20230715","103050","CI00000241","6950","0","1.00","Semiurban","175","180","LA3333000241"
"LP001507","20230716","115520","CI00000242","2698","2034","1.00","Semiurban","122","360","LA3333000242"
"LP001508","20230716","131011","CI00000243","11757","0","1.00","Urban","187","180","LA3333000243"
"LP001514","20230716","140555","CI00000244","2330","4486","1.00","Semiurban","100","360","LA3333000244"
"LP001516","20230716","154707","CI00000245","14866","0","1.00","Urban","70","360","LA3333000245"
"LP001517","20230716","101052","CI00000246","9719","0","1.00","Urban","61","360","LA3333000246"
"LP001518","20230716","114513","CI00000247","1538","1425","1.00","Urban","30","360","LA3333000247"
"LP001519","20230717","132149","CI00000248","10000","1666","1.00","Rural","225","360","LA3333000248"
"LP001520","20230717","143428","CI00000249","4860","830","1.00","Semiurban","125","360","LA3333000249"
"LP001527","20230717","153549","CI00000250","6835","0","0.00","Semiurban","188","360","LA3333000250"
"LP001528","20230717","095512","CI00000251","6277","0","0.00","Rural","118","360","LA3333000251"
"LP001529","20230717","111550","CI00000252","2577","3750","1.00","Rural","152","360","LA3333000252"
"LP001531","20230718","131421","CI00000253","9166","0","1.00","Urban","244","360","LA3333000253"
"LP001532","20230718","142728","CI00000254","2281","0","1.00","Rural","113","360","LA3333000254"
"LP001534","20230718","152512","CI00000255","4452","0","1.00","Rural","131","360","LA3333000255"
"LP001535","20230718","103050","CI00000256","3254","0","1.00","Urban","50","360","LA3333000256"
"LP001536","20230718","115520","CI00000257","39999","0","0.00","Semiurban","600","180","LA3333000257"
"LP001541","20230719","131011","CI00000258","6000","0","0.00","Rural","160","360","LA3333000258"
"LP001542","20230719","140555","CI00000259","2262","0","0.00","Semiurban",\N,"480","LA3333000259"
"LP001543","20230719","154707","CI00000260","9538","0","1.00","Urban","187","360","LA3333000260"
"LP001546","20230719","101052","CI00000261","2980","2083","1.00","Rural","120","360","LA3333000261"
"LP001547","20230719","114513","CI00000262","3901","0","1.00","Urban","116","360","LA3333000262"
"LP001548","20230719","132149","CI00000263","2687","0","1.00","Rural","50","180","LA3333000263"
"LP001552","20230720","143428","CI00000264","4583","5625","1.00","Semiurban","255","360","LA3333000264"
"LP001558","20230720","153549","CI00000265","2243","2233","0.00","Semiurban","107","360","LA3333000265"
"LP001560","20230720","095512","CI00000266","1863","1041","1.00","Semiurban","98","360","LA3333000266"
"LP001561","20230720","111550","CI00000267","3417","1287","1.00","Semiurban","200","360","LA3333000267"
"LP001562","20230720","131421","CI00000268","7933","0","1.00","Urban","275","360","LA3333000268"
"LP001563","20230721","142728","CI00000269","1596","1760","0.00","Urban","119","360","LA3333000269"
"LP001565","20230721","152512","CI00000270","3089","1280","0.00","Semiurban","121","360","LA3333000270"
"LP001567","20230721","103050","CI00000271","4513","0","1.00","Rural","120","360","LA3333000271"
"LP001568","20230721","115520","CI00000272","4500","0","1.00","Semiurban","140","360","LA3333000272"
"LP001570","20230721","131011","CI00000273","4167","1447","1.00","Rural","158","360","LA3333000273"
"LP001572","20230722","140555","CI00000274","9323","0","1.00","Urban","75","180","LA3333000274"
"LP001573","20230722","154707","CI00000275","4523","1350","1.00","Urban","165","360","LA3333000275"
"LP001574","20230722","101052","CI00000276","3707","3166","1.00","Rural","182",\N,"LA3333000276"
"LP001577","20230722","114513","CI00000277","4583","0","1.00","Rural","112","360","LA3333000277"
"LP001578","20230722","132149","CI00000278","2439","3333","1.00","Rural","129","360","LA3333000278"
"LP001579","20230723","143428","CI00000279","2237","0","0.00","Semiurban","63","480","LA3333000279"
"LP001580","20230723","153549","CI00000280","8000","0","1.00","Semiurban","200","360","LA3333000280"
"LP001581","20230723","095512","CI00000281","1820","1769","1.00","Rural","95","360","LA3333000281"
"LP001584","20230723","111550","CI00000282","4742","0","1.00","Semiurban","108","360","LA3333000282"
"LP001585","20230723","131421","CI00000283","51763","0","1.00","Urban","700","300","LA3333000283"
"LP001586","20230724","142728","CI00000284","3522","0","1.00","Rural","81","180","LA3333000284"
"LP001587","20230724","152512","CI00000285","4082","0","1.00","Semiurban","93","360","LA3333000285"
"LP001589","20230724","103050","CI00000286","3417","0","1.00","Urban","102","360","LA3333000286"
"LP001591","20230724","115520","CI00000287","2922","3396","1.00","Semiurban","122","360","LA3333000287"
"LP001594","20230724","131011","CI00000288","5708","5625","1.00","Semiurban","187","360","LA3333000288"
"LP001599","20230724","140555","CI00000289","4167","4754","1.00","Rural","160","360","LA3333000289"
"LP001601","20230725","154707","CI00000290","4243","4123","0.00","Semiurban","157","360","LA3333000290"
"LP001603","20230725","101052","CI00000291","4344","736","1.00","Semiurban","87","360","LA3333000291"
"LP001606","20230725","114513","CI00000292","3497","1964","1.00","Rural","116","360","LA3333000292"
"LP001607","20230725","132149","CI00000293","0","1760","1.00","Semiurban","180","360","LA3333000293"
"LP001608","20230725","143428","CI00000294","2045","1619","1.00","Rural","101","360","LA3333000294"
"LP001610","20230726","153549","CI00000295","5516","11300","0.00","Semiurban","495","360","LA3333000295"
"LP001611","20230726","095512","CI00000296","1516","2900","0.00","Rural","80",\N,"LA3333000296"
"LP001613","20230726","111550","CI00000297","1762","2666","0.00","Urban","104","360","LA3333000297"
"LP001616","20230726","131421","CI00000298","3750","0","1.00","Semiurban","116","360","LA3333000298"
"LP001622","20230726","142728","CI00000299","724","3510","0.00","Rural","213","360","LA3333000299"
"LP001627","20230726","152512","CI00000300","3125","0","1.00","Urban","65","360","LA3333000300"
"LP001630","20230727","103050","CI00000301","2333","1451","0.00","Urban","102","480","LA3333000301"
"LP001633","20230727","115520","CI00000302","6400","7250","0.00","Urban","180","360","LA3333000302"
"LP001634","20230727","131011","CI00000303","1916","5063","0.00","Rural","67","360","LA3333000303"
"LP001636","20230727","140555","CI00000304","4600","0","1.00","Semiurban","73","180","LA3333000304"
